2023-07-05 01:07:273 INFO  TopMenuPage :29 - Select Menu Items : [[[ChromeDriver: chrome on WINDOWS (7c41f81c1117f1d666c631f3f03d9ff2)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (7c41f81c1117f1d666c631f3f03d9ff2)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (7c41f81c1117f1d666c631f3f03d9ff2)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (7c41f81c1117f1d666c631f3f03d9ff2)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (7c41f81c1117f1d666c631f3f03d9ff2)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (7c41f81c1117f1d666c631f3f03d9ff2)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (7c41f81c1117f1d666c631f3f03d9ff2)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (7c41f81c1117f1d666c631f3f03d9ff2)] -> xpath: //ul[@class='nav navbar-nav']/li]]
2023-07-05 01:07:411 INFO  TopMenuPage :33 - Select Show All Menu Items : [[[ChromeDriver: chrome on WINDOWS (7c41f81c1117f1d666c631f3f03d9ff2)] -> xpath: //div[@class='dropdown-menu']/a], [[ChromeDriver: chrome on WINDOWS (7c41f81c1117f1d666c631f3f03d9ff2)] -> xpath: //div[@class='dropdown-menu']/a], [[ChromeDriver: chrome on WINDOWS (7c41f81c1117f1d666c631f3f03d9ff2)] -> xpath: //div[@class='dropdown-menu']/a], [[ChromeDriver: chrome on WINDOWS (7c41f81c1117f1d666c631f3f03d9ff2)] -> xpath: //div[@class='dropdown-menu']/a]]
2023-07-05 01:07:64 INFO  TopMenuPage :47 - Verify menu items text : [[ChromeDriver: chrome on WINDOWS (7c41f81c1117f1d666c631f3f03d9ff2)] -> xpath: //div[@id='content']/h2]
2023-07-05 02:07:155 INFO  ManageBrowser :32 - launching chrome browser
2023-07-05 02:07:526 INFO  TopMenuPage :29 - Select Menu Items : [[[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //ul[@class='nav navbar-nav']/li]]
2023-07-05 02:07:698 INFO  TopMenuPage :33 - Select Show All Menu Items : [[[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //div[@class='dropdown-menu']/a], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //div[@class='dropdown-menu']/a], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //div[@class='dropdown-menu']/a], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //div[@class='dropdown-menu']/a]]
2023-07-05 02:07:69 INFO  ProductPageandOrder :55 - Set Sort By Order : [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //select[@id='input-sort']]
2023-07-05 02:07:799 INFO  ProductPageandOrder :60 - Select Product : [[[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //div[@class='caption']/h4/a], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //div[@class='caption']/h4/a], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //div[@class='caption']/h4/a], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //div[@class='caption']/h4/a], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //div[@class='caption']/h4/a], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //div[@class='caption']/h4/a], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //div[@class='caption']/h4/a], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //div[@class='caption']/h4/a], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //div[@class='caption']/h4/a], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //div[@class='caption']/h4/a], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //div[@class='caption']/h4/a], [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //div[@class='caption']/h4/a]]
2023-07-05 02:07:992 INFO  ProductPageandOrder :74 - Verify Product text : [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //div[@class='col-sm-4']/h1]
2023-07-05 02:07:23 INFO  ProductPageandOrder :79 - Select delivery date : [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> id: input-option225]
