2023-07-05 00:07:510 INFO  DurationOfStayPage :31 - Select month or more[[ChromeDriver: chrome on WINDOWS (9cfe433b31a59722c695dad7997c9579)] -> xpath: (//div[@class='govuk-radios']/div/label)[2]]
2023-07-05 00:07:560 INFO  SelectNationalityPage :25 - Click on continue[[ChromeDriver: chrome on WINDOWS (9cfe433b31a59722c695dad7997c9579)] -> xpath: (//button[@type='submit'])[4]]
2023-07-05 00:07:250 INFO  WorkTypePage :24 - Select Job Type[[[ChromeDriver: chrome on WINDOWS (9cfe433b31a59722c695dad7997c9579)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (9cfe433b31a59722c695dad7997c9579)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (9cfe433b31a59722c695dad7997c9579)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (9cfe433b31a59722c695dad7997c9579)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (9cfe433b31a59722c695dad7997c9579)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (9cfe433b31a59722c695dad7997c9579)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (9cfe433b31a59722c695dad7997c9579)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (9cfe433b31a59722c695dad7997c9579)] -> xpath: //div[@class='govuk-radios']/div/label]]
2023-07-05 00:07:340 INFO  SelectNationalityPage :25 - Click on continue[[ChromeDriver: chrome on WINDOWS (9cfe433b31a59722c695dad7997c9579)] -> xpath: (//button[@type='submit'])[4]]
2023-07-05 00:07:191 INFO  ResultPage :20 - Verify Result Text[[ChromeDriver: chrome on WINDOWS (9cfe433b31a59722c695dad7997c9579)] -> xpath: //div[@class='govuk-!-margin-bottom-6']/h2]
2023-07-05 00:07:854 INFO  ManageBrowser :33 - launching chrome browser
2023-07-05 00:07:556 INFO  StartPage :20 - Click on continue[[ChromeDriver: chrome on WINDOWS (a7c98037d3d4fe86fd2759bd0d5a2783)] -> xpath: (//a[@role='button'])[1]]
2023-07-05 00:07:770 INFO  SelectNationalityPage :21 - Select Nationality[[ChromeDriver: chrome on WINDOWS (a7c98037d3d4fe86fd2759bd0d5a2783)] -> id: response]
2023-07-05 00:07:877 INFO  SelectNationalityPage :25 - Click on continue[[ChromeDriver: chrome on WINDOWS (a7c98037d3d4fe86fd2759bd0d5a2783)] -> xpath: (//button[@type='submit'])[4]]
2023-07-05 00:07:808 INFO  ReasonForTravelPage :26 - Select reason for travelling[[[ChromeDriver: chrome on WINDOWS (a7c98037d3d4fe86fd2759bd0d5a2783)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (a7c98037d3d4fe86fd2759bd0d5a2783)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (a7c98037d3d4fe86fd2759bd0d5a2783)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (a7c98037d3d4fe86fd2759bd0d5a2783)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (a7c98037d3d4fe86fd2759bd0d5a2783)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (a7c98037d3d4fe86fd2759bd0d5a2783)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (a7c98037d3d4fe86fd2759bd0d5a2783)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (a7c98037d3d4fe86fd2759bd0d5a2783)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (a7c98037d3d4fe86fd2759bd0d5a2783)] -> xpath: //div[@class='govuk-radios']/div/label]]
2023-07-05 00:07:942 INFO  SelectNationalityPage :25 - Click on continue[[ChromeDriver: chrome on WINDOWS (a7c98037d3d4fe86fd2759bd0d5a2783)] -> xpath: (//button[@type='submit'])[4]]
2023-07-05 00:07:220 INFO  FamilyImmigrationStatusPage :25 - Select value yes[[ChromeDriver: chrome on WINDOWS (a7c98037d3d4fe86fd2759bd0d5a2783)] -> xpath: (//div[@class='govuk-radios']/div/label)[1]]
2023-07-05 00:07:277 INFO  SelectNationalityPage :25 - Click on continue[[ChromeDriver: chrome on WINDOWS (a7c98037d3d4fe86fd2759bd0d5a2783)] -> xpath: (//button[@type='submit'])[4]]
2023-07-05 00:07:353 INFO  ResultPage :20 - Verify Result Text[[ChromeDriver: chrome on WINDOWS (a7c98037d3d4fe86fd2759bd0d5a2783)] -> xpath: //div[@class='govuk-!-margin-bottom-6']/h2]
2023-07-05 00:07:837 INFO  ManageBrowser :33 - launching chrome browser
2023-07-05 00:07:970 INFO  StartPage :20 - Click on continue[[ChromeDriver: chrome on WINDOWS (5a822c4236275c97dba4befff2fba0ee)] -> xpath: (//a[@role='button'])[1]]
2023-07-05 00:07:229 INFO  SelectNationalityPage :21 - Select Nationality[[ChromeDriver: chrome on WINDOWS (5a822c4236275c97dba4befff2fba0ee)] -> id: response]
2023-07-05 00:07:378 INFO  SelectNationalityPage :25 - Click on continue[[ChromeDriver: chrome on WINDOWS (5a822c4236275c97dba4befff2fba0ee)] -> xpath: (//button[@type='submit'])[4]]
2023-07-05 00:07:218 INFO  ReasonForTravelPage :26 - Select reason for travelling[[[ChromeDriver: chrome on WINDOWS (5a822c4236275c97dba4befff2fba0ee)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (5a822c4236275c97dba4befff2fba0ee)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (5a822c4236275c97dba4befff2fba0ee)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (5a822c4236275c97dba4befff2fba0ee)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (5a822c4236275c97dba4befff2fba0ee)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (5a822c4236275c97dba4befff2fba0ee)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (5a822c4236275c97dba4befff2fba0ee)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (5a822c4236275c97dba4befff2fba0ee)] -> xpath: //div[@class='govuk-radios']/div/label], [[ChromeDriver: chrome on WINDOWS (5a822c4236275c97dba4befff2fba0ee)] -> xpath: //div[@class='govuk-radios']/div/label]]
