2023-07-04 12:07:226 INFO  HomePage :63 - Verify Error Text[[ChromeDriver: chrome on WINDOWS (ea2452c29bc95ba7067e770407ddff4b)] -> xpath: //p[@class='error']]
2023-07-04 12:07:625 INFO  ManageBrowser :32 - launching chrome browser
2023-07-04 12:07:07 INFO  HomePage :47 - Enter Username[[ChromeDriver: chrome on WINDOWS (e7a38650007e6fe03026edd5bbbb0b0c)] -> xpath: //input[@name='username']]
2023-07-04 12:07:242 INFO  HomePage :51 - Enter Password[[ChromeDriver: chrome on WINDOWS (e7a38650007e6fe03026edd5bbbb0b0c)] -> xpath: //input[@name='password']]
2023-07-04 12:07:462 INFO  HomePage :55 - Click on Login Button[[ChromeDriver: chrome on WINDOWS (e7a38650007e6fe03026edd5bbbb0b0c)] -> xpath: //input[@value='Log In']]
2023-07-04 12:07:277 INFO  HomePage :63 - Verify Error Text[[ChromeDriver: chrome on WINDOWS (e7a38650007e6fe03026edd5bbbb0b0c)] -> xpath: //p[@class='error']]
2023-07-04 12:07:634 INFO  ManageBrowser :32 - launching chrome browser
2023-07-04 12:07:499 INFO  HomePage :47 - Enter Username[[ChromeDriver: chrome on WINDOWS (2417094e4d62d1906d2b9860d15f0f44)] -> xpath: //input[@name='username']]
2023-07-04 12:07:691 INFO  HomePage :51 - Enter Password[[ChromeDriver: chrome on WINDOWS (2417094e4d62d1906d2b9860d15f0f44)] -> xpath: //input[@name='password']]
2023-07-04 12:07:868 INFO  HomePage :55 - Click on Login Button[[ChromeDriver: chrome on WINDOWS (2417094e4d62d1906d2b9860d15f0f44)] -> xpath: //input[@value='Log In']]
2023-07-04 12:07:524 INFO  HomePage :63 - Verify Error Text[[ChromeDriver: chrome on WINDOWS (2417094e4d62d1906d2b9860d15f0f44)] -> xpath: //p[@class='error']]
2023-07-04 12:07:382 INFO  ManageBrowser :32 - launching chrome browser
2023-07-04 12:07:218 INFO  HomePage :47 - Enter Username[[ChromeDriver: chrome on WINDOWS (713fbb0479739eea6ee99e86ff5edcc1)] -> xpath: //input[@name='username']]
2023-07-04 12:07:348 INFO  HomePage :51 - Enter Password[[ChromeDriver: chrome on WINDOWS (713fbb0479739eea6ee99e86ff5edcc1)] -> xpath: //input[@name='password']]
2023-07-04 12:07:473 INFO  HomePage :55 - Click on Login Button[[ChromeDriver: chrome on WINDOWS (713fbb0479739eea6ee99e86ff5edcc1)] -> xpath: //input[@value='Log In']]
2023-07-04 12:07:431 INFO  HomePage :59 - Verify Text[[ChromeDriver: chrome on WINDOWS (713fbb0479739eea6ee99e86ff5edcc1)] -> xpath: //h1[@class='title']]
2023-07-04 12:07:484 INFO  HomePage :67 - Click on Logout Button[[ChromeDriver: chrome on WINDOWS (713fbb0479739eea6ee99e86ff5edcc1)] -> xpath: //div[@id='leftPanel']/ul/li[8]/a]
2023-07-04 12:07:892 INFO  HomePage :71 - Verify Customer Login Text[[ChromeDriver: chrome on WINDOWS (713fbb0479739eea6ee99e86ff5edcc1)] -> xpath: //div[@id='leftPanel']/h2]
2023-07-04 12:07:713 INFO  ManageBrowser :32 - launching chrome browser
2023-07-04 12:07:129 INFO  HomePage :47 - Enter Username[[ChromeDriver: chrome on WINDOWS (b20d62c259c7f21c6a8ccf6a0002090f)] -> xpath: //input[@name='username']]
2023-07-04 12:07:334 INFO  HomePage :51 - Enter Password[[ChromeDriver: chrome on WINDOWS (b20d62c259c7f21c6a8ccf6a0002090f)] -> xpath: //input[@name='password']]
2023-07-04 12:07:483 INFO  HomePage :55 - Click on Login Button[[ChromeDriver: chrome on WINDOWS (b20d62c259c7f21c6a8ccf6a0002090f)] -> xpath: //input[@value='Log In']]
2023-07-04 12:07:830 INFO  HomePage :63 - Verify Error Text[[ChromeDriver: chrome on WINDOWS (b20d62c259c7f21c6a8ccf6a0002090f)] -> xpath: //p[@class='error']]
2023-07-04 12:07:89 INFO  ManageBrowser :32 - launching chrome browser
2023-07-04 12:07:735 INFO  HomePage :47 - Enter Username[[ChromeDriver: chrome on WINDOWS (7085a6e1beca7cc9262a937181ff9f74)] -> xpath: //input[@name='username']]
2023-07-04 12:07:891 INFO  HomePage :51 - Enter Password[[ChromeDriver: chrome on WINDOWS (7085a6e1beca7cc9262a937181ff9f74)] -> xpath: //input[@name='password']]
2023-07-04 12:07:63 INFO  HomePage :55 - Click on Login Button[[ChromeDriver: chrome on WINDOWS (7085a6e1beca7cc9262a937181ff9f74)] -> xpath: //input[@value='Log In']]
2023-07-04 12:07:853 INFO  HomePage :63 - Verify Error Text[[ChromeDriver: chrome on WINDOWS (7085a6e1beca7cc9262a937181ff9f74)] -> xpath: //p[@class='error']]
2023-07-04 12:07:167 INFO  ManageBrowser :32 - launching chrome browser
2023-07-04 13:07:181 INFO  HomePage :47 - Enter Username[[ChromeDriver: chrome on WINDOWS (6eb0ab0a608bb2cb868c739243cbafa5)] -> xpath: //input[@name='username']]
2023-07-04 13:07:339 INFO  HomePage :51 - Enter Password[[ChromeDriver: chrome on WINDOWS (6eb0ab0a608bb2cb868c739243cbafa5)] -> xpath: //input[@name='password']]
2023-07-04 13:07:506 INFO  HomePage :55 - Click on Login Button[[ChromeDriver: chrome on WINDOWS (6eb0ab0a608bb2cb868c739243cbafa5)] -> xpath: //input[@value='Log In']]
2023-07-04 13:07:03 INFO  HomePage :63 - Verify Error Text[[ChromeDriver: chrome on WINDOWS (6eb0ab0a608bb2cb868c739243cbafa5)] -> xpath: //p[@class='error']]
2023-07-04 13:07:723 INFO  ManageBrowser :32 - launching chrome browser
2023-07-04 13:07:376 INFO  HomePage :47 - Enter Username[[ChromeDriver: chrome on WINDOWS (f8e1e719951c7530ba5e790a104963ad)] -> xpath: //input[@name='username']]
2023-07-04 13:07:470 INFO  HomePage :51 - Enter Password[[ChromeDriver: chrome on WINDOWS (f8e1e719951c7530ba5e790a104963ad)] -> xpath: //input[@name='password']]
2023-07-04 13:07:588 INFO  HomePage :55 - Click on Login Button[[ChromeDriver: chrome on WINDOWS (f8e1e719951c7530ba5e790a104963ad)] -> xpath: //input[@value='Log In']]
2023-07-04 13:07:181 INFO  HomePage :59 - Verify Text[[ChromeDriver: chrome on WINDOWS (f8e1e719951c7530ba5e790a104963ad)] -> xpath: //h1[@class='title']]
2023-07-04 13:07:239 INFO  HomePage :67 - Click on Logout Button[[ChromeDriver: chrome on WINDOWS (f8e1e719951c7530ba5e790a104963ad)] -> xpath: //div[@id='leftPanel']/ul/li[8]/a]
2023-07-04 13:07:589 INFO  HomePage :71 - Verify Customer Login Text[[ChromeDriver: chrome on WINDOWS (f8e1e719951c7530ba5e790a104963ad)] -> xpath: //div[@id='leftPanel']/h2]
2023-07-04 13:07:457 INFO  ManageBrowser :32 - launching chrome browser
2023-07-04 13:07:844 INFO  HomePage :47 - Enter Username[[ChromeDriver: chrome on WINDOWS (d73435dae094e0342d834f3bce9d8693)] -> xpath: //input[@name='username']]
2023-07-04 13:07:38 INFO  HomePage :51 - Enter Password[[ChromeDriver: chrome on WINDOWS (d73435dae094e0342d834f3bce9d8693)] -> xpath: //input[@name='password']]
2023-07-04 13:07:172 INFO  HomePage :55 - Click on Login Button[[ChromeDriver: chrome on WINDOWS (d73435dae094e0342d834f3bce9d8693)] -> xpath: //input[@value='Log In']]
2023-07-04 13:07:530 INFO  HomePage :63 - Verify Error Text[[ChromeDriver: chrome on WINDOWS (d73435dae094e0342d834f3bce9d8693)] -> xpath: //*[@id='rightPanel']/p]
2023-07-04 13:07:379 INFO  ManageBrowser :32 - launching chrome browser
2023-07-04 13:07:641 INFO  HomePage :47 - Enter Username[[ChromeDriver: chrome on WINDOWS (9d2041361def43ae12d88e674ed16615)] -> xpath: //input[@name='username']]
2023-07-04 13:07:819 INFO  HomePage :51 - Enter Password[[ChromeDriver: chrome on WINDOWS (9d2041361def43ae12d88e674ed16615)] -> xpath: //input[@name='password']]
2023-07-04 13:07:979 INFO  HomePage :55 - Click on Login Button[[ChromeDriver: chrome on WINDOWS (9d2041361def43ae12d88e674ed16615)] -> xpath: //input[@value='Log In']]
2023-07-04 13:07:371 INFO  HomePage :63 - Verify Error Text[[ChromeDriver: chrome on WINDOWS (9d2041361def43ae12d88e674ed16615)] -> xpath: //*[@id='rightPanel']/p]
2023-07-04 13:07:258 INFO  ManageBrowser :32 - launching chrome browser
2023-07-04 13:07:69 INFO  HomePage :47 - Enter Username[[ChromeDriver: chrome on WINDOWS (b2e4ff2cb149d3b2dcb92d5617d4581f)] -> xpath: //input[@name='username']]
2023-07-04 13:07:207 INFO  HomePage :51 - Enter Password[[ChromeDriver: chrome on WINDOWS (b2e4ff2cb149d3b2dcb92d5617d4581f)] -> xpath: //input[@name='password']]
2023-07-04 13:07:336 INFO  HomePage :55 - Click on Login Button[[ChromeDriver: chrome on WINDOWS (b2e4ff2cb149d3b2dcb92d5617d4581f)] -> xpath: //input[@value='Log In']]
2023-07-04 13:07:694 INFO  HomePage :63 - Verify Error Text[[ChromeDriver: chrome on WINDOWS (b2e4ff2cb149d3b2dcb92d5617d4581f)] -> xpath: //*[@id='rightPanel']/p]
2023-07-04 13:07:120 INFO  ManageBrowser :32 - launching chrome browser
2023-07-04 13:07:650 INFO  HomePage :47 - Enter Username[[ChromeDriver: chrome on WINDOWS (1fa015b7c69fa718c10c3a5c6a3659b6)] -> xpath: //input[@name='username']]
2023-07-04 13:07:978 INFO  HomePage :51 - Enter Password[[ChromeDriver: chrome on WINDOWS (1fa015b7c69fa718c10c3a5c6a3659b6)] -> xpath: //input[@name='password']]
2023-07-04 13:07:167 INFO  HomePage :55 - Click on Login Button[[ChromeDriver: chrome on WINDOWS (1fa015b7c69fa718c10c3a5c6a3659b6)] -> xpath: //input[@value='Log In']]
2023-07-04 13:07:938 INFO  HomePage :59 - Verify Text[[ChromeDriver: chrome on WINDOWS (1fa015b7c69fa718c10c3a5c6a3659b6)] -> xpath: //h1[@class='title']]
2023-07-04 13:07:29 INFO  HomePage :67 - Click on Logout Button[[ChromeDriver: chrome on WINDOWS (1fa015b7c69fa718c10c3a5c6a3659b6)] -> xpath: //div[@id='leftPanel']/ul/li[8]/a]
2023-07-04 13:07:449 INFO  HomePage :71 - Verify Customer Login Text[[ChromeDriver: chrome on WINDOWS (1fa015b7c69fa718c10c3a5c6a3659b6)] -> xpath: //div[@id='leftPanel']/h2]
2023-07-04 13:07:358 INFO  ManageBrowser :32 - launching chrome browser
2023-07-04 13:07:102 INFO  HomePage :47 - Enter Username[[ChromeDriver: chrome on WINDOWS (4b7c6c3fd4694e7a4b4e1a1c35c1b774)] -> xpath: //input[@name='username']]
